,DateTime,Tmax(C),Tmin(C),RHmean(%),Rain(mm),Usage(kWh)
0,2018-03-29 00:00:00,20.5,19.5,0.66,0.0,0.09
1,2018-03-29 01:00:00,22.4,19.9,0.61,0.0,0.44000000000000006
2,2018-03-29 02:00:00,23.2,22.4,0.51,0.0,0.08
3,2018-03-29 03:00:00,23.0,21.5,0.5,0.0,0.08
4,2018-03-29 04:00:00,22.0,18.0,0.66,0.0,0.07
5,2018-03-29 05:00:00,18.1,17.7,0.68,0.0,0.2
6,2018-03-29 06:00:00,17.7,16.7,0.71,0.0,0.23
7,2018-03-29 07:00:00,16.7,16.2,0.76,0.0,0.11000000000000001
8,2018-03-29 08:00:00,16.3,14.8,0.8,0.0,0.08
9,2018-03-29 09:00:00,14.9,14.0,0.85,0.0,0.08
10,2018-03-29 10:00:00,14.4,13.7,0.88,0.0,0.79
11,2018-03-29 11:00:00,14.7,14.1,0.89,0.0,2.2699999999999996
12,2018-03-29 12:00:00,15.2,14.6,0.89,0.0,0.5700000000000001
13,2018-03-29 13:00:00,15.2,14.7,0.89,0.0,0.07
14,2018-03-29 14:00:00,14.7,14.4,0.9,0.0,0.03
15,2018-03-29 15:00:00,14.6,14.4,0.89,0.0,0.03
16,2018-03-29 16:00:00,14.4,13.9,0.89,0.0,0.45999999999999996
17,2018-03-29 17:00:00,13.9,13.5,0.91,0.0,0.06
18,2018-03-29 18:00:00,13.7,13.3,0.92,0.0,0.88
19,2018-03-29 19:00:00,13.4,13.1,0.92,0.0,1.6600000000000001
20,2018-03-29 20:00:00,13.9,13.4,0.92,0.0,0.55
21,2018-03-29 21:00:00,15.2,13.8,0.85,0.0,1.01
22,2018-03-29 22:00:00,18.2,15.2,0.73,0.0,1.17
23,2018-03-29 23:00:00,20.1,18.1,0.66,0.0,0.52
24,2018-03-30 00:00:00,20.9,19.6,0.61,0.0,0.08
25,2018-03-30 01:00:00,22.2,19.8,0.59,0.0,0.42
26,2018-03-30 02:00:00,20.5,19.9,0.63,0.0,0.08
27,2018-03-30 03:00:00,20.2,19.9,0.64,0.0,0.11
28,2018-03-30 04:00:00,20.2,19.7,0.63,0.0,0.39999999999999997
29,2018-03-30 05:00:00,20.2,18.7,0.6,0.0,0.08
30,2018-03-30 06:00:00,18.8,17.4,0.7,0.0,0.08
31,2018-03-30 07:00:00,17.4,16.7,0.79,0.0,0.07
32,2018-03-30 08:00:00,16.8,16.6,0.82,0.0,0.37
33,2018-03-30 09:00:00,16.9,16.6,0.84,0.0,0.02
34,2018-03-30 10:00:00,16.7,16.3,0.85,0.0,1.95
35,2018-03-30 11:00:00,16.4,16.3,0.86,0.0,1.5899999999999999
36,2018-03-30 12:00:00,16.7,16.3,0.86,0.0,0.56
37,2018-03-30 13:00:00,16.9,16.6,0.85,0.0,1.0
38,2018-03-30 14:00:00,17.0,16.8,0.84,0.0,0.99
39,2018-03-30 15:00:00,17.2,16.9,0.84,0.0,0.06
40,2018-03-30 16:00:00,17.5,17.1,0.82,0.0,0.41000000000000003
41,2018-03-30 17:00:00,17.7,17.2,0.8,0.0,2.44
42,2018-03-30 18:00:00,17.6,17.2,0.78,0.0,3.07
43,2018-03-30 19:00:00,17.5,17.2,0.78,0.0,1.25
44,2018-03-30 20:00:00,17.5,17.3,0.78,0.0,0.38
45,2018-03-30 21:00:00,17.9,17.5,0.73,0.0,0.08
46,2018-03-30 22:00:00,19.3,17.9,0.69,0.0,0.45
47,2018-03-30 23:00:00,19.4,18.0,0.73,0.0,0.08
48,2018-03-31 00:00:00,19.3,18.2,0.76,0.0,0.12
49,2018-03-31 01:00:00,19.4,18.3,0.81,0.0,0.38
50,2018-03-31 02:00:00,19.5,18.3,0.84,0.0,0.08
51,2018-03-31 03:00:00,20.1,19.5,0.81,0.0,0.06
52,2018-03-31 04:00:00,20.4,20.0,0.79,0.0,0.34
53,2018-03-31 05:00:00,20.4,19.7,0.8,0.0,0.05
54,2018-03-31 06:00:00,19.7,19.1,0.82,0.0,0.08
55,2018-03-31 07:00:00,19.1,17.6,0.76,0.0,0.07
56,2018-03-31 08:00:00,17.6,15.4,0.81,0.0,0.02
57,2018-03-31 09:00:00,15.5,15.3,0.78,0.0,0.3
58,2018-03-31 10:00:00,15.4,15.2,0.71,0.0,2.0
59,2018-03-31 11:00:00,15.3,14.9,0.63,0.0,2.34
60,2018-03-31 12:00:00,15.0,14.5,0.62,0.0,1.2
61,2018-03-31 13:00:00,14.5,12.1,0.67,0.0,0.72
62,2018-03-31 14:00:00,12.1,11.6,0.75,0.0,0.29000000000000004
63,2018-03-31 15:00:00,11.9,11.2,0.83,0.0,0.52
64,2018-03-31 16:00:00,11.4,11.1,0.87,0.0,0.38
65,2018-03-31 17:00:00,11.4,10.8,0.87,0.0,0.30000000000000004
66,2018-03-31 18:00:00,11.5,10.9,0.88,0.0,2.14
67,2018-03-31 19:00:00,11.6,10.9,0.88,0.0,2.07
68,2018-03-31 20:00:00,12.6,10.9,0.87,0.0,0.58
69,2018-03-31 21:00:00,14.1,12.5,0.81,0.0,0.09
70,2018-03-31 22:00:00,18.2,14.1,0.68,0.0,0.39
71,2018-03-31 23:00:00,21.2,18.0,0.59,0.0,0.07
72,2018-04-01 00:00:00,21.2,20.0,0.52,0.0,0.11000000000000001
73,2018-04-01 01:00:00,21.3,20.8,0.48,0.0,0.42000000000000004
75,2018-04-01 03:00:00,21.7,20.5,0.43,0.0,0.03
76,2018-04-01 04:00:00,20.7,19.6,0.48,0.0,0.42000000000000004
77,2018-04-01 05:00:00,19.6,17.5,0.53,0.0,0.03
78,2018-04-01 06:00:00,17.5,16.6,0.62,0.0,0.02
79,2018-04-01 07:00:00,16.6,16.2,0.69,0.0,0.08
80,2018-04-01 08:00:00,16.7,16.4,0.68,0.0,0.32999999999999996
81,2018-04-01 09:00:00,16.7,16.4,0.67,0.0,0.67
82,2018-04-01 10:00:00,16.6,16.3,0.66,0.0,0.02
83,2018-04-01 11:00:00,16.6,16.4,0.67,0.0,0.35
84,2018-04-01 12:00:00,16.4,16.2,0.68,0.0,1.42
