Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Wellington, Greta Point Cws,29/03/2018 00:00,20.5,1,19.5,1,-,-,19.8,66,1,H
Wellington, Greta Point Cws,29/03/2018 01:00,22.4,1,19.9,1,-,-,20.8,61,1,H
Wellington, Greta Point Cws,29/03/2018 02:00,23.2,1,22.4,1,-,-,22.8,51,1,H
Wellington, Greta Point Cws,29/03/2018 03:00,23.0,1,21.5,1,-,-,22.0,50,1,H
Wellington, Greta Point Cws,29/03/2018 04:00,22.0,1,18.0,1,-,-,19.4,66,1,H
Wellington, Greta Point Cws,29/03/2018 05:00,18.1,1,17.7,1,-,-,17.8,68,1,H
Wellington, Greta Point Cws,29/03/2018 06:00,17.7,1,16.7,1,-,-,17.2,71,1,H
Wellington, Greta Point Cws,29/03/2018 07:00,16.7,1,16.2,1,-,-,16.4,76,1,H
Wellington, Greta Point Cws,29/03/2018 08:00,16.3,1,14.8,1,-,-,15.6,80,1,H
Wellington, Greta Point Cws,29/03/2018 09:00,14.9,1,14.0,1,-,-,14.3,85,1,H
Wellington, Greta Point Cws,29/03/2018 10:00,14.4,1,13.7,1,-,-,14.0,88,1,H
Wellington, Greta Point Cws,29/03/2018 11:00,14.7,1,14.1,1,-,-,14.5,89,1,H
Wellington, Greta Point Cws,29/03/2018 12:00,15.2,1,14.6,1,-,-,15.0,89,1,H
Wellington, Greta Point Cws,29/03/2018 13:00,15.2,1,14.7,1,-,-,14.8,89,1,H
Wellington, Greta Point Cws,29/03/2018 14:00,14.7,1,14.4,1,-,-,14.5,90,1,H
Wellington, Greta Point Cws,29/03/2018 15:00,14.6,1,14.4,1,-,-,14.4,89,1,H
Wellington, Greta Point Cws,29/03/2018 16:00,14.4,1,13.9,1,-,-,14.2,89,1,H
Wellington, Greta Point Cws,29/03/2018 17:00,13.9,1,13.5,1,-,-,13.6,91,1,H
Wellington, Greta Point Cws,29/03/2018 18:00,13.7,1,13.3,1,-,-,13.6,92,1,H
Wellington, Greta Point Cws,29/03/2018 19:00,13.4,1,13.1,1,-,-,13.2,92,1,H
Wellington, Greta Point Cws,29/03/2018 20:00,13.9,1,13.4,1,-,-,13.7,92,1,H
Wellington, Greta Point Cws,29/03/2018 21:00,15.2,1,13.8,1,-,-,14.5,85,1,H
Wellington, Greta Point Cws,29/03/2018 22:00,18.2,1,15.2,1,-,-,17.0,73,1,H
Wellington, Greta Point Cws,29/03/2018 23:00,20.1,1,18.1,1,-,-,19.1,66,1,H
Wellington, Greta Point Cws,30/03/2018 00:00,20.9,1,19.6,1,-,-,20.2,61,1,H
Wellington, Greta Point Cws,30/03/2018 01:00,22.2,1,19.8,1,-,-,21.2,59,1,H
Wellington, Greta Point Cws,30/03/2018 02:00,20.5,1,19.9,1,-,-,20.2,63,1,H
Wellington, Greta Point Cws,30/03/2018 03:00,20.2,1,19.9,1,-,-,20.0,64,1,H
Wellington, Greta Point Cws,30/03/2018 04:00,20.2,1,19.7,1,-,-,19.9,63,1,H
Wellington, Greta Point Cws,30/03/2018 05:00,20.2,1,18.7,1,-,-,19.4,60,1,H
Wellington, Greta Point Cws,30/03/2018 06:00,18.8,1,17.4,1,-,-,18.0,70,1,H
Wellington, Greta Point Cws,30/03/2018 07:00,17.4,1,16.7,1,-,-,17.0,79,1,H
Wellington, Greta Point Cws,30/03/2018 08:00,16.8,1,16.6,1,-,-,16.7,82,1,H
Wellington, Greta Point Cws,30/03/2018 09:00,16.9,1,16.6,1,-,-,16.7,84,1,H
Wellington, Greta Point Cws,30/03/2018 10:00,16.7,1,16.3,1,-,-,16.6,85,1,H
Wellington, Greta Point Cws,30/03/2018 11:00,16.4,1,16.3,1,-,-,16.3,86,1,H
Wellington, Greta Point Cws,30/03/2018 12:00,16.7,1,16.3,1,-,-,16.4,86,1,H
Wellington, Greta Point Cws,30/03/2018 13:00,16.9,1,16.6,1,-,-,16.7,85,1,H
Wellington, Greta Point Cws,30/03/2018 14:00,17.0,1,16.8,1,-,-,16.9,84,1,H
Wellington, Greta Point Cws,30/03/2018 15:00,17.2,1,16.9,1,-,-,17.1,84,1,H
Wellington, Greta Point Cws,30/03/2018 16:00,17.5,1,17.1,1,-,-,17.3,82,1,H
Wellington, Greta Point Cws,30/03/2018 17:00,17.7,1,17.2,1,-,-,17.5,80,1,H
Wellington, Greta Point Cws,30/03/2018 18:00,17.6,1,17.2,1,-,-,17.4,78,1,H
Wellington, Greta Point Cws,30/03/2018 19:00,17.5,1,17.2,1,-,-,17.4,78,1,H
Wellington, Greta Point Cws,30/03/2018 20:00,17.5,1,17.3,1,-,-,17.4,78,1,H
Wellington, Greta Point Cws,30/03/2018 21:00,17.9,1,17.5,1,-,-,17.7,73,1,H
Wellington, Greta Point Cws,30/03/2018 22:00,19.3,1,17.9,1,-,-,18.6,69,1,H
Wellington, Greta Point Cws,30/03/2018 23:00,19.4,1,18.0,1,-,-,18.5,73,1,H
Wellington, Greta Point Cws,31/03/2018 00:00,19.3,1,18.2,1,-,-,18.7,76,1,H
Wellington, Greta Point Cws,31/03/2018 01:00,19.4,1,18.3,1,-,-,18.7,81,1,H
Wellington, Greta Point Cws,31/03/2018 02:00,19.5,1,18.3,1,-,-,18.8,84,1,H
Wellington, Greta Point Cws,31/03/2018 03:00,20.1,1,19.5,1,-,-,19.7,81,1,H
Wellington, Greta Point Cws,31/03/2018 04:00,20.4,1,20.0,1,-,-,20.2,79,1,H
Wellington, Greta Point Cws,31/03/2018 05:00,20.4,1,19.7,1,-,-,20.0,80,1,H
Wellington, Greta Point Cws,31/03/2018 06:00,19.7,1,19.1,1,-,-,19.4,82,1,H
Wellington, Greta Point Cws,31/03/2018 07:00,19.1,1,17.6,1,-,-,18.8,76,1,H
Wellington, Greta Point Cws,31/03/2018 08:00,17.6,1,15.4,1,-,-,16.0,81,1,H
Wellington, Greta Point Cws,31/03/2018 09:00,15.5,1,15.3,1,-,-,15.4,78,1,H
Wellington, Greta Point Cws,31/03/2018 10:00,15.4,1,15.2,1,-,-,15.2,71,1,H
Wellington, Greta Point Cws,31/03/2018 11:00,15.3,1,14.9,1,-,-,15.1,63,1,H
Wellington, Greta Point Cws,31/03/2018 12:00,15.0,1,14.5,1,-,-,14.6,62,1,H
Wellington, Greta Point Cws,31/03/2018 13:00,14.5,1,12.1,1,-,-,13.4,67,1,H
Wellington, Greta Point Cws,31/03/2018 14:00,12.1,1,11.6,1,-,-,11.8,75,1,H
Wellington, Greta Point Cws,31/03/2018 15:00,11.9,1,11.2,1,-,-,11.5,83,1,H
Wellington, Greta Point Cws,31/03/2018 16:00,11.4,1,11.1,1,-,-,11.2,87,1,H
Wellington, Greta Point Cws,31/03/2018 17:00,11.4,1,10.8,1,-,-,11.1,87,1,H
Wellington, Greta Point Cws,31/03/2018 18:00,11.5,1,10.9,1,-,-,11.2,88,1,H
Wellington, Greta Point Cws,31/03/2018 19:00,11.6,1,10.9,1,-,-,11.2,88,1,H
Wellington, Greta Point Cws,31/03/2018 20:00,12.6,1,10.9,1,-,-,11.8,87,1,H
Wellington, Greta Point Cws,31/03/2018 21:00,14.1,1,12.5,1,-,-,13.3,81,1,H
Wellington, Greta Point Cws,31/03/2018 22:00,18.2,1,14.1,1,-,-,16.4,68,1,H
Wellington, Greta Point Cws,31/03/2018 23:00,21.2,1,18.0,1,-,-,19.5,59,1,H
Wellington, Greta Point Cws,01/04/2018 00:00,21.2,1,20.0,1,-,-,20.5,52,1,H
Wellington, Greta Point Cws,01/04/2018 01:00,21.3,1,20.8,1,-,-,21.1,48,1,H
Wellington, Greta Point Cws,01/04/2018 02:00,21.9,1,21.2,1,-,-,21.5,43,1,H
Wellington, Greta Point Cws,01/04/2018 03:00,21.7,1,20.5,1,-,-,21.1,43,1,H
Wellington, Greta Point Cws,01/04/2018 04:00,20.7,1,19.6,1,-,-,20.1,48,1,H
Wellington, Greta Point Cws,01/04/2018 05:00,19.6,1,17.5,1,-,-,18.3,53,1,H
Wellington, Greta Point Cws,01/04/2018 06:00,17.5,1,16.6,1,-,-,16.9,62,1,H
Wellington, Greta Point Cws,01/04/2018 07:00,16.6,1,16.2,1,-,-,16.4,69,1,H
Wellington, Greta Point Cws,01/04/2018 08:00,16.7,1,16.4,1,-,-,16.5,68,1,H
Wellington, Greta Point Cws,01/04/2018 09:00,16.7,1,16.4,1,-,-,16.5,67,1,H
Wellington, Greta Point Cws,01/04/2018 10:00,16.6,1,16.3,1,-,-,16.4,66,1,H
Wellington, Greta Point Cws,01/04/2018 11:00,16.6,1,16.4,1,-,-,16.4,67,1,H
Wellington, Greta Point Cws,01/04/2018 12:00,16.4,1,16.2,1,-,-,16.3,68,1,H
Wellington, Greta Point Cws,01/04/2018 13:00,16.4,1,16.1,1,-,-,16.3,65,1,H
Wellington, Greta Point Cws,01/04/2018 14:00,16.6,1,16.3,1,-,-,16.5,65,1,H
Wellington, Greta Point Cws,01/04/2018 15:00,16.6,1,16.3,1,-,-,16.4,67,1,H
Wellington, Greta Point Cws,01/04/2018 16:00,16.4,1,16.2,1,-,-,16.3,64,1,H
Wellington, Greta Point Cws,01/04/2018 17:00,16.3,1,15.8,1,-,-,16.1,63,1,H
Wellington, Greta Point Cws,01/04/2018 18:00,15.9,1,15.7,1,-,-,15.8,66,1,H
